,"TOKYU CORP.","KEISEI ELECTRIC RAILWAY CO., LTD.","KEIO CORP.","ODAKYU ELECTRIC RAILWAY CO., LTD.","KEIKYU CORP."
2008/03,620547508204,184479968485,356728554360,543902631030,364366593012
2008/04,673074167363,196893573841,383081474592,521055772545,365978834574
2008/05,676738818002,188617836937,362513341728,510737836455,360604696034
2008/06,673074167363,187238547453,345158979624,508526850150,353618315932
2008/07,754323887700,204479666003,373440162312,552746576250,371352973114
2008/08,710100544200,209307179197,391437278568,555694557990,375114870092
2008/09,629235001800,198617685696,362513341728,574856439300,370815559260
2008/10,481403311512,163790626225,323948092608,524740749720,407359701332
2008/11,480139785760,170687073645,331018388280,535058685810,433155566324
2008/12,567323062648,191376415905,345801733776,578541416475,427244013930
2009/01,497829146288,169307784161,310450255416,534321690375,372005719840
2009/02,482666837264,157928645918,327804617520,533584694940,370930558800
2009/03,520572609824,169997428903,359942325120,563064512340,382757330240
2009/04,530680815840,161376869628,359942325120,593281325175,418052989252
2009/05,544579599112,172066363129,363156095880,601388274960,403161919714
2009/06,615337041224,198617685696,360585079272,608758229310,412537778312
2009/07,586275948928,203790021261,365084358336,602862265830,435150143166
2009/08,577431268664,224479363521,404292361608,616128183660,425222763474
2009/09,543316073360,205514133116,394008295176,596966302350,419707552534
2009/10,502883249296,177238698694,368298129096,545376621900,398749750962
2009/11,478876260008,168273317048,351586521144,523266758850,387167807988
2009/12,467504528240,175169764468,359942325120,525477745155,377240428296
2010/01,462450425232,171031896016,366369866640,540954649290,383307160330
2010/02,476349208504,182755856630,381795966288,556431553425,401507356432
2010/03,494038569032,196203929099,405577869912,573382448430,423568200192
2010/04,497829146288,192410883018,391437278568,578541416475,435150143166
2010/05,459923373728,171721540758,359299570968,540217653855,419707552534
2010/06,457396322224,172066363129,369583637400,562327516905,432944058790
2010/07,470031579744,179997277662,374082916464,581489398215,444526001764
2010/08,485193888768,185859257969,370869145704,571908457560,469895972088
2010/09,466241002488,184824790856,368940883248,568960475820,445077522858
2010/10,454869270720,185514435598,361870587576,546850612770,419707552534
2010/11,467504528240,189307481679,363798850032,562327516905,405919525184
2010/12,470031579744,186893725082,356085800208,557168548860,395440624398
2011/01,470031579744,191376415905,354157537752,560853526035,387167807988
2011/02,478876260008,198962508067,350943766992,560853526035,372276738450
