,Asset1,Asset2,Asset3,Asset4,Asset5
2014/01,4042467030160,1721278350000,3636185014266,523300716675,1417937011300
2014/02,3717881642800,1778654295000,3380003281179,534459766750,1388387185800
2014/03,3970867312360,1736861940000,3496127180952,546793453675,1427483878000
2014/04,3369960051120,1521525060000,3573247633473,574397419650,1391569474700
2014/05,3563014105040,1667444130000,3606045986844,581445240750,1541137053000
2014/06,3535434954480,1717736625000,3783334383444,611985798850,1577960681700
2014/07,3649464134680,1632735225000,3839180228373,668368367650,1763897276000
2014/08,3452697502800,1633443570000,3699122395059,700083562600,1840726822300
2014/09,3893433543480,1690111170000,3770924195682,669543004500,1885278866900
2014/10,4281663124440,1687277790000,3794858129223,688337194100,2157591874200
2014/11,4582912307480,1949365440000,3925165100724,698908925750,2348529208200
2014/12,4671483810240,1785737745000,3864000603897,677765462450,2523100485000
2015/01,4669362337120,1619276670000,3845385322254,749418310300,2592656228100
2015/02,4914392482480,1810529820000,4054585630242,696559652050,2930433464200
2015/03,4931894635720,2503999575000,4479191340099,694210378350,3307762005200
2015/04,5016753560520,2878714080000,4587337262025,674241551900,2948799817280
2015/05,5441578552800,2992049280000,4571381306331,622557530500,2913158181600
2015/06,5893452327360,2899964430000,4662684830580,630779988450,2842238600400
2015/07,6509740268720,3089800890000,5073993910692,656621999150,2861877869040
2015/08,5225718662840,3543141690000,4689278090070,676590825600,2433450860560
2015/09,5143511579440,2841880140000,4825790155452,644875630650,2425449677040
2015/10,4707548853280,2759712120000,4885181768313,658971272850,2684760761120
2015/11,5280346595680,2678252445000,4893159746160,734148031250,2544740049520
2015/12,4522980691840,2373664095000,4919753005650,755291494550,2668394703920
2016/01,4076410600080,2359497195000,4708779813696,716528478500,2772410089680
2016/02,3324348379040,2240495235000,3984556713585,608461888300,2810961246640
2016/03,3820773089120,2266704000000,4247829982536,621382893650,2898610575200
2016/04,3095759650360,2146993695000,4027105928769,596715519800,2764045216000
2016/05,3170011209560,2330455050000,4205280767352,653098088600,2652028646720
2016/06,2895810808800,2066242365000,3794858129223,656621999150,2409083619840
2016/07,3546042320080,3046591845000,3814359852849,685987920400,2367622941600
2016/08,3854716659040,3212344575000,3865773487863,674241551900,2203598679440
2016/09,3425118352240,3769103745000,4216804513131,720052389050,2230875441440
2016/10,3761371841760,3604059360000,3885275211489,714179204800,2231966511920
2016/11,4197334567920,3934856475000,3931370194605,700083562600,2370168772720
2016/12,4437061030480,3476557260000,3947326150299,721227025900,2402537196960
2017/01,3774100680480,3275387280000,3996966901347,700083562600,2250151019920
2017/02,3764554051440,3329221500000,3900344725200,738846578650,2295612289920
2017/03,3704092067520,3660018615000,3866659929846,724750936450,2321434291280
2017/04,3856838132160,3973107105000,4175141739930,749418310300,2327617024000
2017/05,3935332637600,4767161850000,4173368855964,821071158150,2601839404640
2017/06,3969276207520,5338087920000,4102453497324,824595068700,2766954737280
2017/07,3513159486720,5309754120000,3940234614435,814023337050,2907339139040
2017/08,3338137954320,5190752160000,3869319255795,796403784300,3003717031440
2017/09,3520584642640,5887763640000,3851590416135,803451605400,3118279431840
2017/10,3989430202160,6205102200000,4052812746276,837516074050,3292850708640
2017/11,4615264772560,6403438800000,4082065331715,952630485350,3633628388560
2017/12,4763767890960,5835346110000,4151207806389,966726127550,3735097943200
2018/01,5164726310640,6795861930000,3976578735738,949106574800,3876937105600
2018/02,4515555535920,6953114520000,3954417686163,859834174200,3789651467200
2018/03,4586624885440,6638609340000,4045721210412,866881995300,3951493588400
2018/04,5113810955760,6540857730000,4259353728315,945582664250,3969678096400
2018/05,5062895600880,6375105000000,4273536800043,856170000000,4055145284000
2018/06,5400209826960,5128417800000,4282401219873,846657000000,4227898110000
2018/07,5171090730000,5207752440000,4037743232565,814947000000,4411561640800
2018/08,5495676117360,5689427040000,4011149973075,749413000000,4329731354800
2018/09,6143786155520,5873596740000,4485396433980,825517000000,4320639100800
2018/10,6053623547920,4981082040000,4337360622819,770553000000,3860571048400
2018/11,6262588650240,4903164090000,4381682721969,774781000000,4107880357200
2018/12,5979371988720,4148776665000,4239852004689,729330000000,4020594718800
2019/01,5285650278480,4792662270000,4200848557437,730387000000,4047871480800
